artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
aphex twin,1,2014,2014,Best Dance/Electronic Album
apparat,1,2019,2019,Best Dance/Electronic Album
april stevens and nino tempo,1,1963,1963,Best Rock & Roll Recording
arcade fire,1,2010,2010,Album Of The Year
aretha franklin,18,1967,2007,"Best Gospel Performance | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance, Female | Best Rhythm & Blues Recording | Best Rhythm & Blues Solo Vocal Performance, Female | Best Rhythm & Blues Vocal Performance, Female | Best Soul Gospel Performance | Best Soul Gospel Performance, Female | Best Traditional R&B Vocal Performance"
ariana grande,6,2018,2019,Album Of The Year | Best Pop Duo/Group Performance | Best Pop Solo Performance | Best Pop Vocal Album | Record Of The Year
arjona,1,2006,2006,Best Latin Pop Album
arrested development,1,1992,1992,Best Rap Performance By A Duo Or Group
art blakey,1,1984,1984,"Best Jazz Instrumental Performance, Group"
art linkletter,1,1969,1969,Best Spoken Word Recording
arturo o'farrill,2,2008,2014,Best Latin Jazz Album
arturo sandoval,3,1994,2012,Best Large Jazz Ensemble Album | Best Latin Jazz Performance
ashanti,1,2002,2002,Best Contemporary R&B Album
ashley cleveland,3,1995,2007,Best Rock Gospel Album | Best Rock Or Rap Gospel Album
ashley mcbryde,1,2019,2019,Best Country Solo Performance
asleep at the wheel,8,1978,2000,"Best Country Instrumental Performance | Best Country Instrumental Performance (Orchestra, Group Or Soloist) | Best Country Performance By A Duo Or Group With Vocal"
audio adrenaline,2,2003,2005,Best Rock Gospel Album
audrey hepburn,1,1993,1993,Best Spoken Word Album For Children
aymée nuviola,1,2019,2019,Best Tropical Latin Album
aziz ansari,1,2019,2019,Best Comedy Album
b.b. king,14,1970,2008,"Best Ethnic Or Traditional Recording | Best Pop Collaboration With Vocals | Best Pop Instrumental Performance | Best R&B Vocal Performance, Male | Best Traditional Blues Album | Best Traditional Blues Recording"
b.j. thomas,4,1977,1981,Best Inspirational Performance
babyface,1,1994,1994,Best Male R&B Vocal Performance
bacilos,1,2002,2002,Best Latin Pop Album
bad bunny,1,2019,2019,"Best Latin Rock, Urban Or Alternative Album"
baha men,1,2000,2000,Best Dance Recording
barack obama,1,2007,2007,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)"
barbara bailey hutchison,1,1995,1995,Best Musical Album For Children
barbara mandrell,2,1982,1983,Best Inspirational Performance | Best Soul Gospel Performance By A Duo Or Group
barbra streisand,8,1963,2019,"Album Of The Year (Other Than Classical) | Best Pop Performance By A Duo Or Group With Vocal | Best Pop Vocal Performance, Female | Best Traditional Pop Vocal Album | Best Vocal Performance, Female"
barry manilow,1,1978,1978,"Best Pop Vocal Performance, Male"
barry white,2,1999,1999,Best Male R&B Vocal Performance | Best Traditional R&B Vocal Performance
basement jaxx,1,2004,2004,Best Electronic/Dance Album
beastie boys,3,1998,2007,Best Alternative Music Performance | Best Pop Instrumental Album | Best Rap Performance By A Duo Or Group
"beau bridges, cynthia nixon",1,2008,2008,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)"
