artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
david bowie,3,1984,2016,"Best Alternative Music Album | Best Rock Performance | Best Video, Short Form"
david crosby,1,2019,2019,Best Music Film
david darling,2,2009,2019,Best New Age Album
david holt,1,1996,1996,Best Spoken Word Album For Children
david houston,2,1966,1966,"Best Country & Western Recording | Best Country & Western Vocal Performance, Male"
"david lee garza, joel guzman",1,2004,2004,Best Tejano Album
"david murray, mccoy tyner, pharoah sanders, cecil mcbee",1,1988,1988,"Best Jazz Instrumental Performance, Group"
david rose and his orchestra,1,1959,1959,Best Performance By An Orchestra
david sanborn,6,1981,1999,"Best Contemporary Jazz Performance | Best Jazz Fusion Performance, Vocal Or Instrumental | Best Pop Instrumental Performance (Orchestra, Group Or Soloist) | Best R&B Instrumental Performance | Best R&B Instrumental Performance (Orchestra, Group Or Soloist)"
david seville,1,1958,1958,Best Comedy Performance
david seville and the chipmunks,1,1958,1958,Best Recording For Children
david sánchez,1,2019,2019,Best Latin Jazz Album
dazz band,1,1982,1982,Best R&B Performance By A Duo Or Group With Vocal
dc talk,4,1993,2001,Best Rock Gospel Album
death angel,1,2019,2019,Best Metal Performance
debby boone,2,1980,1984,Best Gospel Performance By A Duo Or Group | Best Inspirational Performance
dee dee bridgewater,2,1997,2010,Best Jazz Vocal Album | Best Jazz Vocal Performance
deep forest,1,1995,1995,Best World Music Album
deftones,1,2000,2000,Best Metal Performance
del mccoury band,1,2013,2013,Best Bluegrass Album
delbert mcclinton,3,2001,2019,Best Contemporary Blues Album | Best Traditional Blues Album
deniece williams,3,1986,1998,"Best Gospel Performance, Female | Best Pop/Contemporary Gospel Album | Best Soul Gospel Performance, Female"
destiny's child,2,2000,2001,Best R&B Performance By A Duo Or Group With Vocal
deva premal,1,2019,2019,Best New Age Album
diamond rio,1,2010,2010,"Best Southern, Country, Or Bluegrass Gospel Album"
diana krall,2,1999,2002,Best Jazz Vocal Album | Best Jazz Vocal Performance
diane schuur,2,1986,1987,"Best Jazz Vocal Performance, Female"
"diane warren, songwriter",1,1996,1996,Best Song Written Specifically For A Motion Picture Or For Television
dianne reeves,5,2000,2014,Best Jazz Vocal Album
digable planets,1,1993,1993,Best Rap Performance By A Duo Or Group
dinah washington,1,1959,1959,Best Rhythm & Blues Performance
dionne warwick,4,1968,1979,"Best Contemporary Pop Vocal Performance, Female | Best Contemporary Vocal Performance, Female | Best Pop Vocal Performance, Female | Best R&B Vocal Performance, Female"
"dionne warwick, elton john, gladys knight",1,1986,1986,Best Pop Performance By A Duo Or Group With Vocal
dire straits,2,1985,1986,"Best Music Video, Short Form | Best Rock Performance By A Duo Or Group With Vocal"
dirty vegas,1,2002,2002,Best Dance Recording
dixie chicks,12,1998,2006,Album Of The Year | Best Country Album | Best Country Instrumental Performance | Best Country Performance By A Duo Or Group With Vocal | Record Of The Year
dixie hummingbirds,1,1973,1973,Best Soul Gospel Performance
dizzy gillespie,1,1991,1991,Best Large Jazz Ensemble Performance
dj khaled,1,2019,2019,Best Rap/Sung Performance
doc watson,5,1973,2002,Best Country Instrumental Performance | Best Ethnic Or Traditional Recording (Including Traditional Blues) | Best Traditional Folk Album | Best Traditional Folk Recording
dolly parton,4,1978,2001,"Best Bluegrass Album | Best Country Vocal Performance, Female | Best Female Country Vocal Performance"
"dolly parton, linda ronstadt",1,1987,1987,Best Country Performance By A Duo Or Group With Vocal
domenico modugno,1,1958,1958,Record Of The Year
don henley,2,1985,1989,"Best Rock Vocal Performance, Male"
donald lawrence presents the tri -city singers,1,2019,2019,Best Gospel Album
donna fargo,1,1972,1972,"Best Country Vocal Performance, Female"
donna summer,5,1978,1997,"Best Dance Recording | Best Inspirational Performance | Best R&B Vocal Performance, Female | Best Rock Vocal Performance, Female"
donnie mcclurkin,3,2003,2009,Best Contemporary Soul Gospel Album | Best Gospel Performance | Best Traditional Soul Gospel Album
donny hathaway,1,1972,1972,"Best Pop Vocal Performance By A Duo, Group Or Chorus"
dottie rambo,1,1968,1968,Best Soul Gospel Performance
dottie west,1,1964,1964,Best Country & Western Vocal Performance - Female
doyle lawson,1,2019,2019,Best Bluegrass Album
dr. dre,2,1993,2000,Best Rap Performance By A Duo Or Group | Best Rap Solo Performance
dr. john,3,1989,2012,"Best Blues Album | Best Jazz Vocal Performance, Duo Or Group | Best Traditional Blues Album"
dr. john and the lower 911,1,2008,2008,Best Contemporary Blues Album
draco rosa,1,2013,2013,Best Latin Pop Album
drake,2,2012,2016,Best Rap Album | Best Rap/Sung Performance
dreamville,2,2019,2019,Best Rap Album | Best Rap Performance
dudley moore,1,1974,1974,Best Spoken Word Recording
duffy,1,2008,2008,Best Pop Vocal Album
duke ellington,8,1959,1979,"Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group | Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group | Best Jazz Instrumental Performance, Big Band | Best Jazz Performance By A Big Band | Best Performance By A Dance Band"
duran duran,2,1983,1983,"Best Video Album | Best Video, Short Form"
dwight yoakam,1,1993,1993,"Best Country Vocal Performance, Male"
eagles,5,1975,2008,"Best Country Performance By A Duo Or Group With Vocals | Best Pop Instrumental Performance | Best Pop Vocal Performance By A Duo, Group Or Chorus | Best Rock Vocal Performance By A Duo Or Group | Record Of The Year"
"earl scruggs, glen duncan, randy scruggs, steve martin, vince gill, marty stuart, gary scruggs, albert lee, paul shaffer, jerry douglas",1,2001,2001,Best Country Instrumental Performance
"earth, wind",6,1975,1982,"Best R&B Instrumental Performance | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance By A Duo, Group Or Chorus"
eartha,1,2002,2002,Best Contemporary Soul Gospel Album
"earvin ""magic"" johnson",1,1992,1992,Best Spoken Word Or Non-Musical Album
ed sheeran,4,2015,2019,Best Pop Solo Performance | Best Pop Vocal Album
eddie blazonczyk's versatones,1,1986,1986,Best Polka Recording
eddie murphy,1,1983,1983,Best Comedy Recording
eddie palmieri,6,1975,2005,Best Latin Jazz Album | Best Latin Recording | Best Tropical Latin Performance
edward r. murrow,1,1966,1966,"Best Spoken Word, Documentary Or Drama Recording"
edwin hawkins,1,1977,1977,"Best Soul Gospel Performance, Contemporary"
edwin hawkins singers,2,1969,1970,Best Soul Gospel Performance
el chapo,1,2007,2007,Best Banda Album
el güero y su banda centanario,1,2010,2010,Best Banda Album
eliane elias,1,2015,2015,Best Latin Jazz Album
elizabeth cotten,1,1984,1984,Best Ethnic Or Traditional Folk Recording
ella fitzgerald,13,1958,1990,"Best Jazz Performance - Soloist | Best Jazz Performance, Individual | Best Jazz Vocal Performance | Best Jazz Vocal Performance, Female | Best Solo Vocal Performance, Female | Best Vocal Performance Album, Female | Best Vocal Performance Single Record Or Track, Female | Best Vocal Performance, Female"
ella mai,1,2019,2019,Best R&B Album
ellen degeneres,1,2019,2019,Best Comedy Album
elton john,2,1994,1997,Best Male Pop Vocal Performance
elvis costello,2,1998,2019,Best Pop Collaboration With Vocals | Best Traditional Pop Vocal Album
elvis crespo,1,1999,1999,Best Merengue Performance
elvis presley,3,1967,1974,Best Inspirational Performance | Best Inspirational Performance (Non-Classical) | Best Sacred Performance
emilio navaira,1,2002,2002,Best Tejano Album
eminem,12,1999,2014,Best Male Rap Solo Performance | Best Rap Album | Best Rap Solo Performance | Best Rap/Sung Collaboration | Best Short Form Music Video
"eminem, dr. dre",1,2009,2009,Best Rap Performance By A Duo Or Group
emmylou harris,9,1976,2013,"Best Americana Album | Best Contemporary Folk Album | Best Country Performance By A Duo Or Group With Vocal | Best Country Performance Duo Or Group | Best Country Vocal Performance, Female | Best Female Country Vocal Performance"
"emmylou harris, linda ronstadt",1,1999,1999,Best Country Collaboration With Vocals
emotions,1,1977,1977,"Best R&B Vocal Performance By A Duo, Group Or Chorus"
enrique iglesias,1,1996,1996,Best Latin Pop Performance
enya,4,1992,2006,Best New Age Album
eric alexandrakis,1,2019,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
eric church,1,2019,2019,Best Country Album
eric clapton,10,1990,2001,"Album Of The Year | Best Male Pop Vocal Performance | Best Pop Instrumental Performance | Best Pop Vocal Performance, Male | Best Rock Vocal Performance, Male | Best Traditional Blues Album | Record Of The Year"
eric johnson,1,1991,1991,Best Rock Instrumental Performance
eric tingstad,1,2002,2002,Best New Age Album
erica campbell,1,2014,2014,Best Gospel Album
ernie watts,2,1982,1985,"Best Pop Instrumental Performance | Best R&B Instrumental Performance (Orchestra, Group Or Soloist)"
erykah badu,2,1997,1997,Best Female R&B Vocal Performance | Best R&B Album
esperanza spalding,2,2012,2019,Best Jazz Vocal Album
estelle,1,2008,2008,Best Rap/Sung Collaboration
etta james,3,1994,2004,Best Contemporary Blues Album | Best Jazz Vocal Performance | Best Traditional Blues Album
eumir deodato,1,1973,1973,Best Pop Instrumental Performance
evanescence,1,2003,2003,Best Hard Rock Performance
eve,1,2001,2001,Best Rap/Sung Collaboration
everett m. dirksen,1,1967,1967,"Best Spoken Word, Documentary Or Drama Recording"
eydie gorme,2,1960,1966,"Best Performance By A Vocal Group (2 To 6) | Best Vocal Performance, Female"
faith hill,5,2000,2005,Best Country Album | Best Country Collaboration With Vocals | Best Female Country Vocal Performance
fantasia,1,2010,2010,Best Female R&B Vocal Performance
fantastic negrito,2,2016,2018,Best Contemporary Blues Album
fatboy slim,1,2001,2001,Best Short Form Music Video
fiona apple,1,1997,1997,Best Female Rock Vocal Performance
fka twigs,1,2019,2019,Best Music Video
flaco jimenez,3,1986,1998,Best Mexican-American Performance | Best Mexican-American/Tejano Music Performance | Best Tejano Music Performance
flatt and scruggs,1,1968,1968,"Best Country Performance, Duo Or Group - Vocal Or Instrumental"
fleetwood mac,1,1977,1977,Album Of The Year
flight of the conchords,1,2007,2007,Best Comedy Album
flip wilson,1,1970,1970,Best Comedy Recording
flor de toloache,1,2019,2019,"Best Latin Rock, Urban Or Alternative Album"
flume,2,2016,2019,Best Dance/Electronic Album
foo fighters,10,2000,2011,Best Hard Rock Performance | Best Hard Rock/Metal Performance | Best Long Form Music Video | Best Rock Album | Best Rock Performance | Best Short Form Music Video
for king,2,2014,2019,Best Contemporary Christian Music Album
frank foster,1,1990,1990,"Best Jazz Instrumental Performance, Big Band"
frank ocean,1,2012,2012,Best Urban Contemporary Album
frank sinatra,8,1959,1995,"Album Of The Year | Best Traditional Pop Vocal Performance | Best Vocal Performance, Male | Record Of The Year"
frank sinatra and original cast,1,1960,1960,Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television
frank solivan,1,2019,2019,Best Bluegrass Album
frank yankovic,1,1985,1985,Best Polka Recording
frank zappa,1,1987,1987,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)"
fred hammond,1,2007,2007,Best Contemporary R&B Gospel Album
freddie hubbard,1,1972,1972,Best Jazz Performance By A Group
freddy fender,1,2001,2001,Best Latin Pop Album
fugees,2,1996,1996,Best R&B Performance By A Duo Or Group With Vocal | Best Rap Album
gaither vocal band,1,2008,2008,"Best Southern, Country, Or Bluegrass Gospel Album"
gale garnett,1,1964,1964,Best Folk Recording
garrison keillor,1,1987,1987,Best Spoken Word Or Non-Musical Recording
garth brooks,1,1991,1991,"Best Country Vocal Performance, Male"
gary burton,1,1981,1981,"Best Jazz Instrumental Performance, Group"
"gary burton, chick corea, pat metheny, roy haynes",1,1999,1999,"Best Jazz Instrumental Performance, Individual Or Group"
gary clark jr.,4,2013,2019,Best Contemporary Blues Album | Best Music Video | Best Rock Performance | Best Traditional R&B Performance
gary s. paxton,1,1976,1976,Best Inspirational Performance
gene moore,1,2019,2019,Best Gospel Album
genesis,1,1987,1987,Best Concept Music Video
george benson,10,1976,2006,"Best Jazz Vocal Performance, Male | Best Pop Instrumental Performance | Best R&B Instrumental Performance | Best R&B Vocal Performance, Male | Best Traditional R&B Vocal Performance | Record Of The Year"
george beverly shea and the anita kerr singers,1,1965,1965,Best Gospel Or Other Religious Recording (Musical)
george burns,1,1990,1990,Best Spoken Word Or Non-Musical Recording
george carlin,5,1972,2008,Best Comedy Album | Best Comedy Recording | Best Spoken Comedy Album
george harrison,1,2003,2003,Best Pop Instrumental Performance
"george harrison, ravi shankar, bob dylan, leon russell, ringo starr, billy preston, eric clapton",1,1972,1972,Album Of The Year
george jones,2,1980,1999,"Best Country Vocal Performance, Male | Best Male Country Vocal Performance"
george michael,1,1988,1988,Album Of The Year
george strait,1,2008,2008,Best Country Album
george winston,1,1995,1995,Best New Age Album
georgia anne muldrow,1,2019,2019,Best Urban Contemporary Album
gerald levert,1,2007,2007,Best Traditional R&B Vocal Performance
gerry mulligan,1,1981,1981,"Best Jazz Instrumental Performance, Big Band"
ghost,1,2015,2015,Best Metal Performance
gil evans,1,1988,1988,"Best Jazz Instrumental Performance, Big Band"
gilberto gil,2,1998,2005,Best Contemporary World Music Album | Best World Music Album
gilberto santa rosa,1,2006,2006,Best Tropical Latin Album
gilda radner,1,1989,1989,Best Spoken Word Or Non-Musical Recording
gilley's urban cowboy band,1,1980,1980,Best Country Instrumental Performance
gipsy kings,1,2013,2013,Best World Music Album
gladys knight,4,1973,2001,"Best Pop Vocal Performance By A Duo, Group Or Chorus | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance By A Duo, Group Or Chorus | Best Traditional R&B Vocal Album"
glen ballard,1,2005,2005,"Best Song Written For Motion Picture, Television Or Other Visual Media"
glen campbell,5,1967,1968,"Album Of The Year | Best Contemporary Male Solo Vocal Performance | Best Country & Western Recording | Best Country & Western Solo Vocal Performance, Male | Best Vocal Performance, Male"
gloria estefan,3,1993,2000,Best Traditional Tropical Latin Album | Best Tropical Latin Album | Best Tropical Latin Performance
gloria gaynor,2,1979,2019,Best Disco Recording | Best Roots Gospel Album
gnarls barkley,2,2006,2006,Best Alternative Music Album | Best Urban/Alternative Performance
gordon goodwin's big phat band,1,2014,2014,Best Large Jazz Ensemble Album
gorillaz,1,2005,2005,Best Pop Collaboration With Vocals
gotye,3,2012,2012,Best Alternative Music Album | Best Pop Duo/Group Performance | Record Of The Year
green day,4,1994,2009,Best Alternative Music Performance | Best Rock Album | Record Of The Year
gregory alan isakov,1,2019,2019,Best Folk Album
gregory porter,2,2013,2016,Best Jazz Vocal Album
greta van fleet,1,2018,2018,Best Rock Album
gretchen wilson,1,2004,2004,Best Female Country Vocal Performance
grover mitchell,1,1996,1996,Best Large Jazz Ensemble Performance
"grover washington, jr.",1,1981,1981,"Best Jazz Fusion Performance, Vocal Or Instrumental"
grupo fantasma,1,2010,2010,"Best Latin Rock, Alternative Or Urban Album"
grupo mania,1,2002,2002,Best Merengue Album
"gulzar, a.r. rahman",1,2009,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media"
guy clark,1,2013,2013,Best Folk Album
h.e.r.,5,2018,2019,Album Of The Year | Best R&B Album | Best R&B Performance | Record Of The Year
halestorm,1,2012,2012,Best Hard Rock/Metal Performance
"hank williams, jr.,",1,1989,1989,Best Country Vocal Collaboration
"hargus ""pig"" robbins",1,1977,1977,Best Country Instrumental Performance
harold faltermeyer,1,1986,1986,"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)"
harry belafonte,2,1960,1965,Best Folk Recording | Best Performance - Folk
"harry connick, jr.",3,1989,2001,"Best Jazz Vocal Performance, Male | Best Traditional Pop Vocal Album"
harry nilsson,2,1969,1972,"Best Contemporary Vocal Performance, Male | Best Pop Vocal Performance, Male"
heather headley,1,2009,2009,Best Contemporary R&B Gospel Album
"helen hayes, orson welles, henry fonda",1,1976,1976,Best Spoken Word Recording
helen reddy,1,1972,1972,"Best Pop Vocal Performance, Female"
"henry james townsend, joe willie ""pinetop"" perkins, robert lockwood, jr.",1,2007,2007,Best Traditional Blues Album
henry mancini,8,1958,1970,Album Of The Year | Best Contemporary Instrumental Performance | Best Instrumental Performance - Non-Jazz | Best Jazz Performance Large Group | Best Performance By An Orchestra | Best Performance By An Orchestra - For Other Than Dancing | Record Of The Year
henry rollins,1,1994,1994,Best Spoken Word Or Non-Musical Album
herb alpert,2,1979,2013,Best Pop Instrumental Album | Best Pop Instrumental Performance
herb alpert and the tijuana brass,3,1965,1966,"Best Instrumental Performance (Other Than Jazz) | Best Instrumental Performance, Non-Jazz | Record Of The Year"
herbie hancock,5,1983,2007,"Album Of The Year | Best Contemporary Jazz Album | Best Jazz Instrumental Performance, Individual Or Group | Best R&B Instrumental Performance"
"herbie hancock, michael brecker",1,2002,2002,"Best Jazz Instrumental Album, Individual Or Group"
"herbie hancock, pink, india.arie, seal, konono no 1, jeff beck",1,2010,2010,Best Pop Collaboration With Vocals
high on fire,1,2018,2018,Best Metal Performance
hillary rodham clinton,1,1996,1996,Best Spoken Word Or Non-Musical Album
hillary scott,1,2016,2016,Best Contemporary Christian Music Album
homer and jethro,1,1959,1959,Best Comedy Performance - Musical
hootie,1,1995,1995,Best Pop Performance By A Duo Or Group With Vocal
howard ashman,2,1990,1992,Best Song Written Specifically For A Motion Picture Or For Television
huey lewis,1,1985,1985,"Best Music Video, Long Form"
hugh jackman,1,2018,2018,Best Compilation Soundtrack For Visual Media
i prevail,2,2019,2019,Best Metal Performance | Best Rock Album
i'm,1,2019,2019,Best American Roots Performance
ibrahim ferrer,1,2003,2003,Best Traditional Tropical Latin Album
ike,1,1971,1971,Best R&B Vocal Performance By A Group
ike turner,1,2006,2006,Best Traditional Blues Album
ile,2,2016,2019,"Best Latin Rock, Urban Or Alternative Album"
imagine dragons,1,2013,2013,Best Rock Performance
india.arie,4,2002,2019,Best R&B Album | Best Traditional R&B Performance | Best Urban/Alternative Performance
indigo girls,1,1989,1989,Best Contemporary Folk Recording
inner circle,1,1993,1993,Best Reggae Album
intocable,3,2004,2019,Best Mexican/Mexican-American Album | Best Norteño Album | Best Regional Mexican Music Album (Including Tejano)
irakere,1,1979,1979,Best Latin Recording
irene cara,1,1983,1983,"Best Pop Vocal Performance, Female"
irma thomas,1,2006,2006,Best Contemporary Blues Album
iron maiden,1,2010,2010,Best Metal Performance
isaac hayes,1,1972,1972,"Best Pop Instrumental Performance By An Arranger, Composer, Orchestra And/Or Choral Leader"
isley brothers,1,1969,1969,Best R&B Vocal Performance By A Duo Or Group
israel,2,2006,2015,Best Gospel Album | Best Traditional Gospel Album
israel and new breed,1,2007,2007,Best Pop/Contemporary Gospel Album
israel houghton,2,2009,2010,Best Pop/Contemporary Gospel Album
"israel lópez ""cachao""",1,2004,2004,Best Traditional Tropical Latin Album
j balvin,1,2019,2019,"Best Latin Rock, Urban Or Alternative Album"
j. cole,1,2019,2019,Best Rap Performance
j.s. ondara,1,2019,2019,Best Americana Album
jack dejohnette,1,2008,2008,Best New Age Album
jack jones,2,1961,1963,"Best Solo Vocal Performance, Male | Best Vocal Performance, Male"
jack white,1,2014,2014,Best Rock Performance
jaguares,1,2008,2008,Best Latin Rock Or Alternative Album
jake hess,3,1968,1970,Best Sacred Performance | Best Sacred Performance (Musical) | Best Sacred Performance (Non-Classical)
james blake,1,2019,2019,Best Alternative Music Album
james brown,2,1965,1986,"Best R&B Vocal Performance, Male | Best Rhythm & Blues Recording"
james cleveland,3,1974,1980,"Best Soul Gospel Performance | Best Soul Gospel Performance, Traditional"
james cotton,1,1996,1996,Best Traditional Blues Album
james horner,1,1998,1998,Best Song Written For A Motion Picture Or For Television
"james horner, barry mann",1,1987,1987,Best Song Written Specifically For A Motion Picture Or Television
james ingram,2,1981,1984,"Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance, Male"
james moody,1,2010,2010,"Best Jazz Instrumental Album, Individual Or Group"
james taylor,5,1971,2003,"Best Country Collaboration With Vocals | Best Male Pop Vocal Performance | Best Pop Album | Best Pop Vocal Performance, Male"
james whitmore,1,1975,1975,Best Spoken Word Recording
jamie foxx,1,2009,2009,Best R&B Performance By A Duo Or Group With Vocals
jamiroquai,1,1997,1997,Best Pop Performance By A Duo Or Group With Vocal
jan hammer,1,1985,1985,"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)"
janet jackson,3,1989,2001,Best Dance Recording | Best Music Video - Long Form | Best Short Form Music Video
janis ian,2,1975,2012,"Best Pop Vocal Performance, Female | Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
jars of clay,3,1997,2002,Best Pop/Contemporary Gospel Album
jason crabb,2,2009,2018,"Best Roots Gospel Album | Best Southern, Country, Or Bluegrass Gospel Album"
jason isbell,1,2015,2015,Best Americana Album
jason isbell and the 400 unit,1,2017,2017,Best Americana Album
jason mraz,2,2009,2009,Best Male Pop Vocal Performance | Best Pop Collaboration With Vocals
jay z,1,2013,2013,Best Rap/Sung Collaboration
jay-z,10,1998,2012,Best Rap Album | Best Rap Performance | Best Rap Performance By A Duo Or Group | Best Rap Solo Performance | Best Rap/Sung Collaboration
"jay-z, rihanna",1,2009,2009,Best Rap/Sung Collaboration
jazz at lincoln center orchestra,1,2019,2019,Best Latin Jazz Album
jazzmeia horn,1,2019,2019,Best Jazz Vocal Album
jeannie c. riley,1,1968,1968,"Best Country Vocal Performance, Female"
jeannie seely,1,1966,1966,Best Country & Western Vocal Performance - Female
jeff beck,6,1985,2010,"Best Pop Instrumental Performance | Best Rock Instrumental Performance | Best Rock Instrumental Performance (Orchestra, Group Or Soloist)"
"jeff beck, terry bozzio",1,1989,1989,Best Rock Instrumental Performance
jeff lorber fusion,1,2017,2017,Best Contemporary Instrumental Album
jennifer gasoi,1,2013,2013,Best Children'S Album
jennifer holliday,2,1982,1985,"Best Inspirational Performance | Best R&B Vocal Performance, Female"
jennifer hudson,1,2008,2008,Best R&B Album
jennifer warnes,1,1987,1987,Best Pop Performance By A Duo Or Group With Vocal
jerry reed,2,1970,1971,"Best Country Instrumental Performance | Best Country Vocal Performance, Male"
jesse,1,2016,2016,Best Latin Pop Album
jesse jackson,1,1988,1988,Best Spoken Word Or Non-Musical Recording
jessie reyez,1,2019,2019,Best Urban Contemporary Album
jethro tull,1,1988,1988,Best Hard Rock/Metal Performance Vocal Or Instrumental
jill scott,1,2004,2004,Best Urban/Alternative Performance
jim dale,2,2000,2007,Best Spoken Word Album For Children
jim gaffigan,1,2019,2019,Best Comedy Album
jim lauderdale,1,2007,2007,Best Bluegrass Album
"jim lauderdale, ralph stanley",1,2002,2002,Best Bluegrass Album
jimmie vaughan,2,2001,2019,Best Traditional Blues Album
"jimmie vaughan, eric clapton, bonnie raitt, robert cray, b.b. king, buddy guy, dr. john",1,1996,1996,Best Rock Instrumental Performance
jimmy carter,3,2006,2018,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling) | Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
jimmy cliff,2,1985,2012,Best Reggae Album | Best Reggae Recording
jimmy dean,1,1961,1961,Best Country & Western Recording
jimmy fallon,1,2012,2012,Best Comedy Album
jimmy gonzalez y el grupo mazz,1,2003,2003,Best Tejano Album
jimmy page,1,1998,1998,Best Hard Rock Performance
jimmy sturr,15,1986,2006,Best Polka Album | Best Polka Recording
jimmy sturr and his orchestra,3,2005,2008,Best Polka Album
jj cale,1,2007,2007,Best Contemporary Blues Album
jo-el sonnier,1,2014,2014,Best Regional Roots Music Album
joan rivers,1,2014,2014,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
joan sebastian,2,2002,2003,Best Mexican/Mexican-American Album
joan sebástian,2,2006,2008,Best Banda Album
joaquin phoenix,1,2006,2006,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media"
jobim,1,1995,1995,Best Latin Jazz Performance
jody miller,1,1965,1965,Best Country & Western Vocal Performance - Female
joe cocker,1,1982,1982,Best Pop Performance By A Duo Or Group With Vocal
joe harnell,1,1962,1962,Best Performance By An Orchestra - For Dancing
joe henderson,1,1993,1993,"Best Jazz Instrumental Performance, Individual Or Group"
joe henderson big band,1,1997,1997,Best Large Jazz Ensemble Performance
joe jackson,1,2000,2000,Best Pop Instrumental Album
joe lovano,1,2000,2000,Best Large Jazz Ensemble Album
"joe pass, oscar peterson",1,1974,1974,Best Jazz Performance By A Group
joe simon,1,1969,1969,"Best R&B Vocal Performance, Male"
joe williams,1,1984,1984,Best Jazz Vocal Performance
joe zawinul,1,2009,2009,Best Contemporary Jazz Album
joey defrancesco,1,2019,2019,Best Jazz Instrumental Album
joey+rory,1,2016,2016,Best Roots Gospel Album
john barry,1,1985,1985,"Best Jazz Instrumental Performance, Big Band"
john cougar mellencamp,1,1982,1982,"Best Rock Vocal Performance, Male"
john daversa big band,1,2018,2018,Best Large Jazz Ensemble Album
john denver,1,1997,1997,Best Musical Album For Children
john flansburgh,1,2001,2001,"Best Song Written For A Motion Picture, Television Or Other Visual Media"
john fogerty,1,1997,1997,Best Rock Album
john gielgud,1,1979,1979,"Best Spoken Word, Documentary Or Drama Recording"
"john hammond, stevie ray vaughan",1,1984,1984,Best Traditional Blues Recording
john hartford,2,1967,1976,Best Ethnic Or Traditional Recording | Best Folk Performance
john lee hooker,3,1995,1997,Best Pop Collaboration With Vocals | Best Traditional Blues Album
john legend,6,2005,2019,Best Male R&B Vocal Performance | Best R&B Album | Best Traditional Pop Vocal Album | Best Traditional R&B Vocal Performance
john lennon,1,1981,1981,Album Of The Year
john mayer,6,2002,2008,Best Male Pop Vocal Performance | Best Pop Vocal Album | Best Solo Rock Vocal Performance
john prine,2,1991,2005,Best Contemporary Folk Album
john scofield,2,2015,2016,Best Jazz Instrumental Album
john waters,1,2019,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
john williams,1,1977,1977,Best Pop Instrumental Recording
johnny cash,9,1967,2007,"Best Contemporary Folk Album | Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental) | Best Country Album | Best Country Vocal Performance, Male | Best Male Country Vocal Performance | Best Short Form Music Video"
johnny cash and june carter,1,1970,1970,Best Country Vocal Performance By A Duo Or Group
"johnny cash, carl perkins, jerry lee lewis, roy orbison, sam phillips, rick nelson",1,1986,1986,Best Spoken Word Or Non-Musical Recording
johnny horton,1,1959,1959,Best Country & Western Performance
johnny mann singers,2,1961,1967,Best Performance By A Chorus
johnny whitehorse,1,2007,2007,Best Native American Music Album
johnny winter,1,2014,2014,Best Blues Album
jon cleary,1,2015,2015,Best Regional Roots Music Album
jon samson,1,2019,2019,Best Children'S Music Album
jon secada,2,1992,1995,Best Latin Pop Album | Best Latin Pop Performance
jon stewart,1,2010,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)"
jon stewart and the cast of the daily show,1,2004,2004,Best Comedy Album
jonah jones,1,1959,1959,Best Jazz Performance - Group
jonas brothers,1,2019,2019,Best Pop Duo/Group Performance
jonathan,1,1960,1960,Best Comedy Performance (Musical)
jonathan winters,1,1995,1995,Best Spoken Comedy Album
joni mitchell,4,1969,2007,Best Folk Performance | Best Pop Album | Best Pop Instrumental Performance | Best Traditional Pop Vocal Album
jonny lang,1,2006,2006,Best Rock Or Rap Gospel Album
jontavious willis,1,2019,2019,Best Traditional Blues Album
jose feliciano,5,1968,1990,"Best Contemporary Pop Vocal Performance, Male | Best Latin Pop Performance"
jose lugo,1,2016,2016,Best Tropical Latin Album
joseph habedank,1,2019,2019,Best Roots Gospel Album
joshua redman quartet,1,2019,2019,Best Jazz Instrumental Album
joss favela,1,2019,2019,Best Regional Mexican Music Album (Including Tejano)
josé feliciano,1,2008,2008,Best Tropical Latin Album
joy williams,1,2019,2019,Best Folk Album
joão gilberto,1,2000,2000,Best World Music Album
juan luis guerra,1,2007,2007,Best Tropical Latin Album
juan luis guerra 4.40,2,1991,2019,Best Tropical Latin Album
juanes,2,2008,2012,Best Latin Pop Album
judas priest,1,2009,2009,Best Metal Performance
judy collins,1,1968,1968,Best Folk Performance
