artist_key,primary_artist,grammy_winner,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
149,Lee DeWyze,False,0,,,N/A
150,Clementine Duo,False,0,,,N/A
151,Brandon Chase,False,0,,,N/A
152,Austin Basham,False,0,,,N/A
153,Eastmountainsouth,False,0,,,N/A
154,Peter Bradley Adams,False,0,,,N/A
155,Suy Galvez,False,0,,,N/A
156,Howlin' Wolf,False,0,,,N/A
157,Buddy Guy,True,7,1991,2018,Best Blues Album | Best Contemporary Blues Album | Best Traditional Blues Album
158,Mance Lipscomb,False,0,,,N/A
159,Violent Femmes,False,0,,,N/A
160,Drei Rana,False,0,,,N/A
161,Harley Poe,False,0,,,N/A
162,Trevor Hall,False,0,,,N/A
163,Colin & Caroline,False,0,,,N/A
164,Ysabelle Cuevas,False,0,,,N/A
165,Ethan Loukas,False,0,,,N/A
166,Penny and Sparrow,False,0,,,N/A
167,Sonny Boy Williamson II,False,0,,,N/A
168,Shannon & Keast,False,0,,,N/A
169,Mia Rollo,False,0,,,N/A
170,AJJ,False,0,,,N/A
171,SANNA NORTH,False,0,,,N/A
172,Pigeon Pit,False,0,,,N/A
173,Kris Allen,False,0,,,N/A
174,Lúc,False,0,,,N/A
175,Edy Hafler,False,0,,,N/A
176,Mat Kearney,False,0,,,N/A
177,Sakura Fujiwara,False,0,,,N/A
178,Eddie van der Meer,False,0,,,N/A
179,Maris Racal,False,0,,,N/A
180,Apes of the State,False,0,,,N/A
181,Gail Blanco,False,0,,,N/A
182,Emilie Mover,False,0,,,N/A
183,William Fitzsimmons,False,0,,,N/A
184,Vivid Color,False,0,,,N/A
185,Albert Collins,False,0,,,N/A
186,Jon McLaughlin,False,0,,,N/A
187,EJ De Perio,False,0,,,N/A
188,Beyond The Guitar,False,0,,,N/A
189,Hannah's Yard,False,0,,,N/A
190,Vendredi,False,0,,,N/A
191,Chris Cresswell,False,0,,,N/A
192,Chuck Ragan,False,0,,,N/A
193,Tim Vantol,False,0,,,N/A
194,Chad Hates George,False,0,,,N/A
195,Acoustic Guitar Collective,False,0,,,N/A
196,Jules Larson,False,0,,,N/A
197,Rosi Golan,False,0,,,N/A
198,Will Moore,False,0,,,N/A
199,C.W. Stoneking,False,0,,,N/A
200,Johnnyswim,False,0,,,N/A
201,Drew Holcomb,False,0,,,N/A
202,Marc Broussard,False,0,,,N/A
203,Mindy Smith,False,0,,,N/A
204,Anya Marina,False,0,,,N/A
205,SafetySuit,False,0,,,N/A
206,Filip Nordin,False,0,,,N/A
207,Melvin Taylor,False,0,,,N/A
208,Luther Allison,False,0,,,N/A
209,We The Heathens,False,0,,,N/A
210,Ramshackle Glory,False,0,,,N/A
211,Eric Lumiere,False,0,,,N/A
212,Carly Lyman,False,0,,,N/A
213,Michelle Featherstone,False,0,,,N/A
214,Big Mama Thornton,False,0,,,N/A
215,Neulore,False,0,,,N/A
216,Nathan Angelo,False,0,,,N/A
217,Andrew Ripp,False,0,,,N/A
218,Covers Culture,False,0,,,N/A
219,Keisha White,False,0,,,N/A
220,Beans on Toast,False,0,,,N/A
221,Not Half Bad,False,0,,,N/A
222,Defiance,False,0,,,N/A
223,NORMANDY,False,0,,,N/A
224,Parker Jenkins,False,0,,,N/A
225,Sunset & Highland,False,0,,,N/A
226,Shikao Suga,False,0,,,N/A
227,Guus Dielissen,False,0,,,N/A
228,Naotaro Moriyama,False,0,,,N/A
229,Postcards & Polaroids,False,0,,,N/A
230,Yu Takahashi,False,0,,,N/A
231,Unkle Bob,False,0,,,N/A
232,The Cameron Collective,False,0,,,N/A
233,Kurei,False,0,,,N/A
234,Little Walter,False,0,,,N/A
235,Matt Pless,False,0,,,N/A
236,Jay Filson,False,0,,,N/A
237,Ankle Grease,False,0,,,N/A
238,John Elliott,False,0,,,N/A
239,Zak Manley,False,0,,,N/A
240,Linn Brikell,False,0,,,N/A
241,Rosie Thomas,False,0,,,N/A
242,Celestial Conscience,False,0,,,N/A
243,Erato,False,0,,,N/A
244,Caj Morgan,False,0,,,N/A
245,Kazuyoshi Saito,False,0,,,N/A
246,Brendan James,False,0,,,N/A
247,Calibretto 13,False,0,,,N/A
248,Laura Jane Grace,False,0,,,N/A
249,Grace Petrie,False,0,,,N/A
250,Salty Snacks,False,0,,,N/A
251,Michael Logen,False,0,,,N/A
252,Ice Seguerra,False,0,,,N/A
253,Jimmy Rogers,False,0,,,N/A
254,Steve Pulvers,False,0,,,N/A
255,Rory Block,False,0,,,N/A
256,Bobbylene,False,0,,,N/A
257,Joey Cape,False,0,,,N/A
258,Son&Dad,False,0,,,N/A
259,Cannon's Jug Stompers,False,0,,,N/A
260,J-Que Beenz,False,0,,,N/A
261,Roberto Diana,False,0,,,N/A
262,Bootstraps,False,0,,,N/A
263,Graham Colton,False,0,,,N/A
264,Correatown,False,0,,,N/A
265,Aberola,False,0,,,N/A
266,She/Her/hers,False,0,,,N/A
267,Corporate Hearts,False,0,,,N/A
268,Dan Andriano in the Emergency Room,False,0,,,N/A
269,Limoblaze,False,0,,,N/A
270,Criolo,False,0,,,N/A
271,BaianaSystem,False,0,,,N/A
272,Plastilina Mosh,False,0,,,N/A
273,Jorge Drexler,False,0,,,N/A
274,Juanafé,False,0,,,N/A
275,Samuca e a Selva,False,0,,,N/A
276,Jackie Mittoo,False,0,,,N/A
277,Pompi,False,0,,,N/A
278,Menahan Street Band,False,0,,,N/A
279,Los Pirañas,False,0,,,N/A
280,Los Amigos Invisibles,False,0,,,N/A
281,Metá Metá,False,0,,,N/A
282,Mandrill,False,0,,,N/A
283,Hugh Masekela,False,0,,,N/A
284,Manu Dibango,False,0,,,N/A
285,Ernest Ranglin,False,0,,,N/A
286,Calle 13,True,3,2007,2014,"Best Latin Rock, Alternative Or Urban Album | Best Latin Rock, Urban Or Alternative Album | Best Latin Urban Album"
287,El Michels Affair,False,0,,,N/A
288,Ali Farka Touré,True,2,2005,2010,Best Traditional World Music Album
